AtomicNumber,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,Radioactive,Natural,Metal,Nonmetal,Metalloid,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,NumberOfIsotopes,SpecificHeat,NumberofShells,NumberofValence
37,Rb,85.468,48,37,37,5,1,0,1,1,0,0,3,0.82,4.1771,1.53E+00,312.79,961,20,0.363,5,1
38,Sr,87.62,50,38,38,5,2,0,1,1,0,0,2.5,0.95,5.6949,2.64E+00,1042.15,1655,18,0.301,5,2
39,Y,88.906,50,39,39,5,3,0,1,1,0,0,2.3,1.22,6.2173,4.47E+00,1799.15,3609,21,0.298,5,
40,Zr,91.224,51,40,40,5,4,0,1,1,0,0,2.2,1.33,6.6339,6.51E+00,2125.15,4682,20,0.278,5,
41,Nb,92.906,52,41,41,5,5,0,1,1,0,0,2.1,1.6,6.7589,8.57E+00,2741.15,5017,24,0.265,5,
42,Mo,95.96,54,42,42,5,6,0,1,1,0,0,2,2.16,7.0924,1.02E+01,2890.15,4912,20,0.251,5,
43,Tc,98,55,43,43,5,7,1,,1,0,0,2,1.9,7.28,1.15E+01,2473.15,5150,23,5,,
44,Ru,101.07,57,44,44,5,8,0,1,1,0,0,1.9,2.2,7.3605,1.24E+01,2523.15,4423,16,0.238,5,
45,Rh,102.906,58,45,45,5,9,0,1,1,0,0,1.8,2.28,7.4589,1.24E+01,2239.15,3968,20,0.243,5,
46,Pd,106.42,60,46,46,5,10,0,1,1,0,0,1.8,2.2,8.3369,1.20E+01,1825.15,3236,21,0.244,5,
47,Ag,107.868,61,47,47,5,11,0,1,1,0,0,1.8,1.93,7.5762,1.05E+01,1234.15,2435,27,0.235,5,
48,Cd,112.411,64,48,48,5,12,0,1,1,0,0,1.7,1.69,8.9938,8.69E+00,594.33,1040,22,0.232,5,
49,In,114.818,66,49,49,5,13,0,1,1,0,0,2,1.78,5.7864,7.31E+00,429.91,2345,34,0.233,5,3
50,Sn,118.71,69,50,50,5,14,0,1,1,0,0,1.7,1.96,7.3439,7.29E+00,505.21,2875,28,0.228,5,4
51,Sb,121.76,71,51,51,5,15,0,1,0,0,1,1.5,2.05,8.6084,6.69E+00,904.05,1860,29,0.207,5,5
52,Te,127.6,76,52,52,5,16,0,1,0,0,1,1.4,2.1,9.0096,6.23E+00,722.8,1261,29,0.202,5,6
53,I,126.904,74,53,53,5,17,0,1,0,1,0,1.3,2.66,10.4513,4.93E+00,386.65,457.4,24,0.214,5,7
54,Xe,131.293,77,54,54,5,18,0,1,0,1,0,1.2,,12.1298,5.89E-03,161.45,165.03,31,0.158,5,8
55,Cs,132.905,78,55,55,6,1,0,1,1,0,0,3.3,0.79,3.8939,1.87E+00,301.7,944,22,0.242,6,1
56,Ba,137.327,81,56,56,6,2,0,1,1,0,0,2.8,0.89,5.2117,3.59E+00,1002.15,2170,25,0.204,6,2
57,La,138.905,82,57,57,6,3,0,1,1,0,0,2.7,1.1,5.5769,6.15E+00,1193.15,3737,19,0.195,6,
58,Ce,140.116,82,58,58,6,,0,1,1,0,0,2.7,1.12,5.5387,6.77E+00,1071.15,3716,19,0.192,6,
59,Pr,140.908,82,59,59,6,,0,1,1,0,0,2.7,1.13,5.473,6.77E+00,1204.15,3793,15,0.193,6,
60,Nd,144.242,84,60,60,6,,0,1,1,0,0,2.6,1.14,5.525,7.01E+00,1289.15,3347,16,0.19,6,
61,Pm,145,84,61,61,6,,1,,1,0,0,2.6,1.13,5.582,7.26E+00,1204.15,3273,14,,6,
62,Sm,150.36,88,62,62,6,,0,1,1,0,0,2.6,1.17,5.6437,7.52E+00,1345.15,2067,17,0.197,6,
63,Eu,151.964,89,63,63,6,,0,1,1,0,0,2.6,1.2,5.6704,5.24E+00,1095.15,1802,21,0.182,6,
64,Gd,157.25,93,64,64,6,,0,1,1,0,0,2.5,1.2,6.1501,7.90E+00,1585.15,3546,17,0.236,6,
65,Tb,158.925,94,65,65,6,,0,1,1,0,0,2.5,1.2,5.8638,8.23E+00,1630.15,3503,24,0.182,6,
66,Dy,162.5,97,66,66,6,,0,1,1,0,0,2.5,1.22,5.9389,8.55E+00,1680.15,2840,21,0.17,6,
67,Ho,164.93,98,67,67,6,,0,1,1,0,0,2.5,1.23,6.0215,8.80E+00,1743.15,2993,29,0.165,6,
68,Er,167.259,99,68,68,6,,0,1,1,0,0,2.5,1.24,6.1077,9.07E+00,1795.15,3503,16,0.168,6,
69,Tm,168.934,100,69,69,6,,0,1,1,0,0,2.4,1.25,6.1843,9.32E+00,1818.15,2223,18,0.16,6,
70,Yb,173.054,103,70,70,6,,0,1,1,0,0,2.4,1.1,6.2542,6.97E+00,1097.15,1469,16,0.155,6,
71,Lu,174.967,104,71,71,6,,0,1,1,0,0,2.3,1.27,5.4259,9.84E+00,1936.15,3675,22,0.154,6,
72,Hf,178.49,106,72,72,6,4,0,1,1,0,0,2.2,1.3,6.8251,1.33E+01,2500.15,4876,17,0.144,6,
73,Ta,180.948,108,73,73,6,5,0,1,1,0,0,2.1,1.5,7.5496,1.67E+01,3269.15,5731,19,0.14,6,
74,W,183.84,110,74,74,6,6,0,1,1,0,0,2,2.36,7.864,1.93E+01,3680.15,5828,22,0.132,6,
75,Re,186.207,111,75,75,6,7,0,1,1,0,0,2,1.9,7.8335,2.10E+01,3453.15,5869,21,0.137,6,
76,Os,190.23,114,76,76,6,8,0,1,1,0,0,1.9,2.2,8.4382,2.26E+01,3300.15,5285,19,0.13,6,
77,Ir,192.217,115,77,77,6,9,0,1,1,0,0,1.9,2.2,8.967,2.26E+01,2716.15,4701,25,0.131,6,
78,Pt,195.084,117,78,78,6,10,0,1,1,0,0,1.8,2.28,8.9587,2.15E+01,2045.15,4098,32,0.133,6,
79,Au,196.967,118,79,79,6,11,0,1,1,0,0,1.8,2.54,9.2255,1.93E+01,1337.73,3129,21,0.129,6,
80,Hg,200.59,121,80,80,6,12,0,1,1,0,0,1.8,2,10.4375,1.35E+01,234.43,630,26,0.14,6,
81,Tl,204.383,123,81,81,6,13,0,1,1,0,0,2.1,2.04,6.1082,1.19E+01,577.15,1746,28,0.129,6,3
82,Pb,207.2,125,82,82,6,14,0,1,1,0,0,1.8,2.33,7.4167,1.13E+01,600.75,2022,29,0.129,6,4
83,Bi,208.98,126,83,83,6,15,0,1,1,0,0,1.6,2.02,7.2856,9.81E+00,544.67,1837,19,0.122,6,5
84,Po,210,126,84,84,6,16,1,1,,0,1,1.5,2,8.417,9.32E+00,527.15,1235,34,,6,6
85,At,210,125,85,85,6,17,1,1,,1,0,1.4,2.2,9.3,7.00E+00,575.15,610,21,,6,7
86,Rn,222,136,86,86,6,18,1,1,1,0,0,1.3,,10.7485,9.73E-03,202.15,211.3,20,0.094,6,8
87,Fr,223,136,87,87,7,1,1,1,1,0,0,,0.7,4.0727,1.87E+00,300.15,950,21,,7,1
88,Ra,226,138,88,88,7,2,1,1,1,0,0,,0.9,5.2784,5.50E+00,973.15,2010,15,,7,2
89,Ac,227,138,89,89,7,3,1,1,1,0,0,,1.1,5.17,1.01E+01,1323.15,3471,11,0.12,7,
90,Th,232.038,142,90,90,7,,1,1,1,0,0,,1.3,6.3067,1.17E+01,2028.15,5061,12,0.113,7,
91,Pa,231.036,140,91,91,7,,1,1,1,0,0,,1.5,5.89,1.54E+01,1873.15,4300,14,,7,
92,U,238.029,146,92,92,7,,1,1,1,0,0,,1.38,6.1941,1.90E+01,1405.15,4404,15,0.116,7,
93,Np,237,144,93,93,7,,1,0,1,0,0,,1.36,6.2657,2.05E+01,913.15,4273,153,,7,
94,Pu,244,150,94,94,7,,1,0,1,0,0,,1.28,6.0262,1.98E+01,913.15,3501,163,,7,
95,Am,243,148,95,95,7,,1,0,1,0,0,,1.3,5.9738,1.37E+01,1267.15,2880,133,,7,
96,Cm,247,151,96,96,7,,1,0,1,0,0,,1.3,5.9915,1.35E+01,1340.15,3383,133,,7,
97,Bk,247,150,97,97,7,,1,0,1,0,0,,1.3,6.1979,1.48E+01,1259.15,983,83,,7,
98,Cf,251,153,98,98,7,,1,0,1,0,0,,1.3,6.2817,1.51E+01,1925.15,1173,123,,7,
99,Es,252,153,99,99,7,,1,0,1,0,0,,1.3,6.42,1.35E+01,1133.15,,123,,7,
100,Fm,257,157,100,100,7,,1,0,1,0,0,,1.3,6.5,,,,103,,7,
101,Md,258,157,101,101,7,,1,0,1,0,0,,1.3,6.58,,,,33,,7,
102,No,259,157,102,102,7,,1,0,1,0,0,,1.3,6.65,,,,73,,7,
103,Lr,262,159,103,103,7,,1,0,1,0,0,,,,,,,203,,7,
104,Rf,261,157,104,104,7,4,1,0,1,0,0,,,,1.81E+01,,,,,7,
105,Db,262,157,105,105,7,5,1,0,1,0,0,,,,3.90E+01,,,,,7,
106,Sg,266,160,106,106,7,6,1,0,1,0,0,,,,3.50E+01,,,,,7,
107,Bh,264,157,107,107,7,7,1,0,1,0,0,,,,3.70E+01,,,,,7,
108,Hs,267,159,108,108,7,8,1,0,1,0,0,,,,4.10E+01,,,,,7,
109,Mt,268,159,109,109,7,9,1,0,1,0,0,,,,3.50E+01,,,,,7,
110,Ds ,271,161,110,110,7,10,1,0,1,0,0,,,,,,,,,7,
111,Rg ,272,161,111,111,7,11,1,0,1,0,0,,,,,,,,,7,
112,Cn ,285,173,112,112,7,12,1,0,1,0,0,,,,,,,,,7,
113,Nh,284,171,113,113,7,13,1,0,1,0,0,,,,,,,,,7,3
114,Fl,289,175,114,114,7,14,1,0,1,0,0,,,,,,,,,7,4
115,Mc,288,173,115,115,7,15,1,0,1,0,0,,,,,,,,,7,5
116,Lv,292,176,116,116,7,16,1,0,1,0,0,,,,,,,,,7,6
117,Ts,295,178,117,117,7,17,1,0,0,1,0,,,,,,,,,7,7
118,Og,294,176,118,118,7,18,1,0,0,1,0,,,,,,,,,7,8
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,https://gist.github.com/GoodmanSciences/c2dd862cd38f21b0ad36b8f96b4bf1ee,,,,,,,,,,,,,,,,,,,,
